"108000","SDH00apple 13","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","7503","CENTIMETERS","Person{name='Tom', passportID='E31415926535PE31415926535Q', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue ooo'}}"
"1000009","OPIEapple 16","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","115030","CENTIMETERS","Person{name='Oleg', passportID='E12345', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue iuwoiuqw'}}"
"1000008","POIWETapple 12","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","7153700","CENTIMETERS","Person{name='Markus', passportID='E31415926535RE31415926535S', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue oqiwueoqwnd'}}"
"104000","SDGSDapple 3","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","530","CENTIMETERS","Person{name='Anton', passportID='E31415926535D', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qlkdmlwqke'}}"
"1000007","DGJKapple 19","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","71560","CENTIMETERS","Person{name='Hamlet', passportID='E31415926535NE31415926535O', hairColor=BROWN, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qwklenqw'}}"
"1000006","DNMFapple 14","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","11735","CENTIMETERS","Person{name='Tomas', passportID='E31415926535RE31415926535S', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qwlkejlqw'}}"
"1000005","POITapple 5","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","1003","CENTIMETERS","Person{name='Rick', passportID='E31415926535E', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenueq qwlkejlk'}}"
"1000004","SDASapple 6","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","150037","CENTIMETERS","Person{name='Liza', passportID='E31415926535F', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qwlkejqwke'}}"
"1000003","SDLFKapple 15","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","11030","CENTIMETERS","Person{name='Tommi', passportID='E31415926535JE31415926535K', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qwpoei'}}"
"1000002","SDJFapple 9","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","1357","CENTIMETERS","Person{name='Solomon', passportID='E31415926535JE31415926535K', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qweipqwle'}}"
"1000001","QWEWREapple 17","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","71238000","CENTIMETERS","Person{name='Inna', passportID='E12345', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue qwo'}}"
"107000","SDSDapple 8","Coordinates{x=9, y=10.0}","Wed Apr 17 10:40:00 MSK 2024","25007030","CENTIMETERS","Person{name='Adam', passportID='E31415926535H', hairColor=ORANGE, nationality=UNITED_KINGDOM, location=Location{x=90, y=100, name='FifthAvenue wqeqwe'}}"
